word,category,sources
equal,Mathematics,"globish, ogdens_basic_english, voa_special_english"
equate,Mathematics,globish
equipment,Industry,"globish, voa_special_english"
erase,Visual,globish
error,Education,ogdens_basic_english
escape,Nature,"globish, upgoer5, voa_special_english"
especially,Education,"globish, upgoer5"
establish,Business,"globish, voa_special_english"
estimate,Mathematics,"globish, voa_special_english"
ethnic,People,"globish, voa_special_english"
evaporate,Nature,"globish, voa_special_english"
even,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
evening,Time,upgoer5
event,Time,"globish, ogdens_basic_english, voa_special_english"
eventually,Time,upgoer5
ever,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
every,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
everyone,People,upgoer5
everything,Nature,upgoer5
evidence,Education,"globish, voa_special_english"
evil,People,"globish, voa_special_english"
exact,Mathematics,"globish, voa_special_english"
